time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:09:27,BLE,1603BDFE-E399-6D17-DF23-6EBD22446A0B,1,,,,,
2020-08-11 20:09:27,BLE,1603BDFE-E399-6D17-DF23-6EBD22446A0B,,,3,,,RSSI:-73.0
2020-08-11 20:09:27,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,2,,,,zTWWcw
2020-08-11 20:09:35,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-85.0
2020-08-11 20:09:35,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-89.0
2020-08-11 20:09:36,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-94.0
2020-08-11 20:09:36,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,,4,,
2020-08-11 20:09:36,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,2,,,,mL6p9g
2020-08-11 20:09:37,BLE,1603BDFE-E399-6D17-DF23-6EBD22446A0B,,,3,,,RSSI:-72.0
2020-08-11 20:09:38,BLE,1603BDFE-E399-6D17-DF23-6EBD22446A0B,,2,,,,AayC8A
2020-08-11 20:09:38,BLE,48B707A4-5445-6DC5-47FA-09331F70D7D2,1,,,,,
2020-08-11 20:09:38,BLE,48B707A4-5445-6DC5-47FA-09331F70D7D2,,,3,,,RSSI:-79.0
2020-08-11 20:09:47,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-76.0
2020-08-11 20:09:47,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-85.0
2020-08-11 20:09:47,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-92.0
2020-08-11 20:09:47,BLE,48B707A4-5445-6DC5-47FA-09331F70D7D2,,,3,,,RSSI:-73.0
2020-08-11 20:09:47,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,,4,,Ku1nMg
