time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:15:56.711+0000,BLE,20:AD:C9:CA:0C:42,1,,,,,,,
2022-11-29 22:15:56.717+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-98.0
2022-11-29 22:15:56.895+0000,BLE,61:53:78:9B:F9:9F,1,,,,,,,
2022-11-29 22:15:56.901+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-96.0
2022-11-29 22:15:56.905+0000,BLE,61:97:6E:53:D0:6F,1,,,,,,,
2022-11-29 22:15:56.907+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-56.0
2022-11-29 22:15:57.178+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0
2022-11-29 22:15:57.382+0000,BLE,53:84:8A:0D:E8:B4,1,,,,,,,
2022-11-29 22:15:57.388+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-99.0
2022-11-29 22:15:57.448+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-56.0
2022-11-29 22:15:57.658+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-97.0
2022-11-29 22:15:57.717+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-97.0
2022-11-29 22:15:57.750+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-56.0
2022-11-29 22:15:57.956+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-96.0
2022-11-29 22:15:58.007+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-96.0
2022-11-29 22:15:58.009+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0
2022-11-29 22:15:58.232+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-97.0
2022-11-29 22:15:58.277+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-99.0
2022-11-29 22:15:58.279+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0
2022-11-29 22:15:58.462+0000,BLE,F5:D9:2A:35:E3:B7,1,,,,,,,
2022-11-29 22:15:58.469+0000,BLE,F5:D9:2A:35:E3:B7,,,3,,,,,RSSI:-101.0
2022-11-29 22:15:58.501+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-98.0
2022-11-29 22:15:58.554+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0
2022-11-29 22:15:58.788+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-98.0
2022-11-29 22:15:58.825+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-96.0
2022-11-29 22:15:59.130+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-98.0
2022-11-29 22:15:59.140+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-56.0
2022-11-29 22:15:59.417+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-56.0
2022-11-29 22:15:59.598+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-98.0
2022-11-29 22:15:59.648+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-98.0
2022-11-29 22:15:59.687+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-58.0
2022-11-29 22:15:59.895+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-100.0
2022-11-29 22:15:59.948+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0
2022-11-29 22:16:00.143+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-97.0
2022-11-29 22:16:00.221+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0
2022-11-29 22:16:00.437+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-95.0
2022-11-29 22:16:00.478+0000,BLE,F5:D9:2A:35:E3:B7,,,3,,,,,RSSI:-96.0
2022-11-29 22:16:00.484+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-56.0
2022-11-29 22:16:16.845+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-47.0[BLETransmitPower:8.0]
2022-11-29 22:16:17.119+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-47.0[BLETransmitPower:8.0]
2022-11-29 22:16:17.247+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-96.0[BLETransmitPower:8.0]
2022-11-29 22:16:17.529+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-94.0[BLETransmitPower:8.0]
2022-11-29 22:16:17.668+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-47.0[BLETransmitPower:8.0]
2022-11-29 22:16:17.964+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-46.0[BLETransmitPower:8.0]
2022-11-29 22:16:18.234+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-46.0[BLETransmitPower:8.0]
2022-11-29 22:16:18.349+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-94.0[BLETransmitPower:8.0]
2022-11-29 22:16:18.495+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-46.0[BLETransmitPower:8.0]
2022-11-29 22:16:18.800+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-46.0[BLETransmitPower:8.0]
2022-11-29 22:16:19.075+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-47.0[BLETransmitPower:8.0]
2022-11-29 22:16:19.177+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-97.0[BLETransmitPower:8.0]
2022-11-29 22:16:19.333+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-47.0[BLETransmitPower:8.0]
2022-11-29 22:16:19.631+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-48.0[BLETransmitPower:8.0]
2022-11-29 22:16:19.903+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-49.0[BLETransmitPower:8.0]
2022-11-29 22:16:20.179+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:20.447+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:24.032+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:24.582+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:24.862+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:25.153+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:25.422+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:25.702+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-54.0[BLETransmitPower:8.0]
2022-11-29 22:16:25.984+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0[BLETransmitPower:8.0]
2022-11-29 22:16:26.259+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-55.0[BLETransmitPower:8.0]
2022-11-29 22:16:26.431+0000,BLE,4F:EF:2D:73:11:36,1,,,,,,,
2022-11-29 22:16:26.434+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-100.0
2022-11-29 22:16:26.478+0000,BLE,F5:D9:2A:35:E3:B7,,,3,,,,,RSSI:-96.0
2022-11-29 22:16:26.509+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-52.0[BLETransmitPower:8.0]
2022-11-29 22:16:26.594+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-94.0[BLETransmitPower:8.0]
2022-11-29 22:16:26.783+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-50.0[BLETransmitPower:8.0]
2022-11-29 22:16:27.087+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-51.0[BLETransmitPower:8.0]
2022-11-29 22:16:27.141+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-97.0[BLETransmitPower:8.0]
2022-11-29 22:16:27.325+0000,BLE,61:97:6E:53:D0:6F,,,3,,,,,RSSI:-57.0[BLETransmitPower:8.0]
2022-11-29 22:16:27.355+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-95.0
2022-11-29 22:16:27.421+0000,BLE,10:18:90:C2:A5:E7,1,,,,,,,
2022-11-29 22:16:27.422+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-97.0
2022-11-29 22:16:27.437+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-98.0
2022-11-29 22:16:27.535+0000,BLE,61:53:78:9B:F9:9F,,,3,,,,,RSSI:-91.0[BLETransmitPower:7.0]
2022-11-29 22:16:27.554+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-98.0
