time,source,level
2022-11-29 22:15:46.672+0000,external,80.0
2022-11-29 22:16:16.678+0000,external,81.0
2022-11-29 22:16:46.688+0000,battery,81.0
2022-11-29 22:17:16.720+0000,battery,81.0
2022-11-29 22:17:46.749+0000,battery,81.0
2022-11-29 22:18:16.763+0000,battery,81.0
2022-11-29 22:18:46.789+0000,battery,81.0
2022-11-29 22:19:16.843+0000,battery,81.0
2022-11-29 22:19:46.868+0000,battery,81.0
2022-11-29 22:20:16.899+0000,battery,81.0
2022-11-29 22:20:46.922+0000,battery,81.0
2022-11-29 22:22:06.691+0000,battery,81.0
2022-11-29 22:22:36.700+0000,battery,80.0
2022-11-29 22:23:06.706+0000,battery,80.0
2022-11-29 22:23:36.732+0000,battery,80.0
2022-11-29 22:24:06.798+0000,battery,80.0
2022-11-29 22:24:36.836+0000,battery,80.0
2022-11-29 22:25:06.871+0000,battery,80.0
2022-11-29 22:25:36.901+0000,battery,80.0
2022-11-29 22:26:06.934+0000,battery,80.0
2022-11-29 22:26:36.965+0000,battery,80.0
2022-11-29 22:27:06.994+0000,battery,80.0
2022-11-29 22:27:37.023+0000,battery,80.0
2022-11-29 22:28:07.054+0000,battery,80.0
2022-11-29 22:28:37.084+0000,battery,80.0
2022-11-29 22:29:07.109+0000,battery,80.0
2022-11-29 22:29:37.138+0000,battery,80.0
2022-11-29 22:30:07.167+0000,battery,80.0
2022-11-29 22:30:37.193+0000,battery,80.0
2022-11-29 22:31:07.221+0000,battery,80.0
2022-11-29 22:31:37.245+0000,battery,80.0
2022-11-29 22:32:07.275+0000,battery,80.0
2022-11-29 22:32:37.315+0000,battery,80.0
2022-11-29 22:33:07.325+0000,battery,80.0
2022-11-29 22:33:37.360+0000,battery,80.0
2022-11-29 22:34:07.392+0000,battery,80.0
2022-11-29 22:34:37.420+0000,battery,80.0
2022-11-29 22:35:07.449+0000,battery,80.0
2022-11-29 22:35:37.477+0000,battery,80.0
2022-11-29 22:36:07.502+0000,battery,80.0
2022-11-29 22:36:37.525+0000,battery,80.0
2022-11-29 22:37:07.560+0000,battery,80.0
2022-11-29 22:37:37.587+0000,battery,80.0
2022-11-29 22:38:07.614+0000,battery,80.0
2022-11-29 22:38:37.644+0000,battery,80.0
2022-11-29 22:39:07.671+0000,battery,80.0
2022-11-29 22:39:37.702+0000,battery,80.0
2022-11-29 22:40:07.730+0000,battery,80.0
2022-11-29 22:40:37.757+0000,battery,80.0
2022-11-29 22:41:07.785+0000,battery,80.0
2022-11-29 22:41:37.813+0000,battery,80.0
2022-11-29 22:42:07.838+0000,battery,80.0
2022-11-29 22:42:37.864+0000,battery,80.0
2022-11-29 22:43:07.891+0000,battery,80.0
2022-11-29 22:43:37.922+0000,battery,80.0
2022-11-29 22:44:07.954+0000,battery,80.0
2022-11-29 22:44:37.980+0000,battery,80.0
2022-11-29 22:45:08.016+0000,battery,80.0
2022-11-29 22:45:38.043+0000,battery,80.0
2022-11-29 22:46:08.069+0000,battery,80.0
2022-11-29 22:46:38.098+0000,battery,80.0
2022-11-29 22:47:08.128+0000,battery,80.0
2022-11-29 22:47:38.156+0000,battery,80.0
2022-11-29 22:48:08.186+0000,battery,80.0
