time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:17:20,BLE,40:FC:56:F9:E4:AA,,,,4,,[Ku1nMg]
2020-08-11 20:17:22,BLE,70:E2:2E:FC:6A:38,,,,4,,[]
2020-08-11 20:17:48,BLE,4E:EF:91:97:90:23,1,,,,,
2020-08-11 20:19:25,BLE,6A:AE:7A:9D:1A:D0,1,,,,,
2020-08-11 20:20:34,BLE,40:FC:56:F9:E4:AA,,,,4,,[Ku1nMg]
2020-08-11 20:20:36,BLE,70:E2:2E:FC:6A:38,,,,4,,[]
2020-08-11 20:21:30,BLE,55:BE:E8:0F:2F:B0,1,,,,,
2020-08-11 20:22:32,BLE,40:FC:56:F9:E4:AA,,,,4,,[Ku1nMg]
2020-08-11 20:23:03,BLE,54:D7:28:6C:04:C8,1,,,,,
2020-08-11 20:23:28,BLE,4F:B6:F3:EE:B9:11,1,,,,,
2020-08-11 20:26:00,BLE,75:07:4A:BA:EC:7E,1,,,,,
2020-08-11 20:27:44,BLE,4D:54:C1:F3:9C:94,1,,,,,
2020-08-11 20:28:56,BLE,6F:1D:F8:23:14:38,1,,,,,
2020-08-11 20:32:39,BLE,6F:3B:87:15:46:AE,1,,,,,
2020-08-11 20:34:19,BLE,6C:5A:7D:73:6E:57,1,,,,,
2020-08-11 20:36:18,BLE,44:6C:62:F8:A4:38,1,,,,,
2020-08-11 20:37:39,BLE,65:8E:6C:6D:AC:C7,1,,,,,
2020-08-11 20:37:48,BLE,67:FA:7D:93:56:17,1,,,,,
