time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:02:33,BLE,42:AF:48:1F:7E:B3,1,,,,,
2020-08-11 20:02:33,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:33,BLE,5A:0B:DE:20:C1:35,1,,,,,
2020-08-11 20:02:33,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:33,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:33,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:33,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:33,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:33,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:02:34,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-51.0
2020-08-11 20:02:34,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-52.0
2020-08-11 20:08:15,BLE,70:E2:2E:FC:6A:38,1,,,,,
2020-08-11 20:08:37,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-74.0
2020-08-11 20:08:37,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-74.0
