time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,1,,,,,
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,1,,,,,
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
