time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:21:56.552+0000,BLE,7B:AC:AC:34:E9:4A,1,,,,,,,
2022-11-29 22:22:16.110+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:16.427+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:24:30.443+0000,BLE,7B:AC:AC:34:E9:4A,,2,,,,,,lGxWLg
2022-11-29 22:32:03.748+0000,BLE,52:5B:0A:AC:6A:02,1,,,,,,,
2022-11-29 22:32:03.752+0000,BLE,52:5B:0A:AC:6A:02,,,3,,,,,RSSI:-42.0
2022-11-29 22:32:03.929+0000,BLE,52:5B:0A:AC:6A:02,,,3,,,,,RSSI:-42.0
2022-11-29 22:32:21.011+0000,BLE,52:5B:0A:AC:6A:02,,2,,,,,,lGxWLg
2022-11-29 22:43:04.031+0000,BLE,50:AA:A8:4D:F3:B4,1,,,,,,,
2022-11-29 22:43:04.034+0000,BLE,50:AA:A8:4D:F3:B4,,,3,,,,,RSSI:-42.0
2022-11-29 22:43:04.212+0000,BLE,50:AA:A8:4D:F3:B4,,,3,,,,,RSSI:-42.0
2022-11-29 22:43:10.813+0000,BLE,50:AA:A8:4D:F3:B4,,2,,,,,,lGxWLg
