time,rssi,distance
2021-03-11 09:01:51,-60.0,1
2021-03-11 09:01:51,-60.0,1
2021-03-11 09:01:59,-60.0,1
2021-03-11 09:01:59,-60.0,1
2021-03-11 09:02:00,-60.0,1
2021-03-11 09:02:00,-60.0,1
2021-03-11 09:02:00,-60.0,1
2021-03-11 09:02:00,-60.0,1
2021-03-11 09:02:01,-60.0,1
2021-03-11 09:02:02,-60.0,1
2021-03-11 09:02:02,-60.0,1
2021-03-11 09:02:02,-60.0,1
2021-03-11 09:02:06,-60.0,1
2021-03-11 09:02:06,-60.0,1
2021-03-11 09:02:06,-60.0,1
2021-03-11 09:02:07,-60.0,1
2021-03-11 09:02:07,-60.0,1
2021-03-11 09:02:08,-60.0,1
2021-03-11 09:02:08,-60.0,1
2021-03-11 09:02:08,-60.0,1
2021-03-11 09:02:08,-60.0,1
2021-03-11 09:02:09,-60.0,1
2021-03-11 09:02:09,-60.0,1
2021-03-11 09:02:13,-60.0,1
2021-03-11 09:02:13,-60.0,1
2021-03-11 09:02:13,-60.0,1
2021-03-11 09:02:14,-60.0,1
2021-03-11 09:02:14,-60.0,1
2021-03-11 09:02:14,-60.0,1
2021-03-11 09:02:14,-60.0,1
2021-03-11 09:02:15,-60.0,1
2021-03-11 09:02:15,-60.0,1
2021-03-11 09:02:16,-60.0,1
2021-03-11 09:02:16,-60.0,1
2021-03-11 09:02:22,-60.0,1
2021-03-11 09:02:22,-60.0,1
2021-03-11 09:02:23,-60.0,1
2021-03-11 09:02:23,-60.0,1
2021-03-11 09:02:24,-60.0,1
2021-03-11 09:02:25,-60.0,1
2021-03-11 09:02:25,-60.0,1
2021-03-11 09:02:25,-60.0,1
2021-03-11 09:02:32,-60.0,1
2021-03-11 09:02:33,-60.0,1
2021-03-11 09:02:34,-60.0,1
2021-03-11 09:02:34,-60.0,1
2021-03-11 09:02:42,-60.0,1
2021-03-11 09:02:42,-60.0,1
2021-03-11 09:02:42,-60.0,1
2021-03-11 09:02:43,-60.0,1
2021-03-11 09:02:43,-60.0,1
2021-03-11 09:02:43,-60.0,1
2021-03-11 09:02:44,-60.0,1
2021-03-11 09:02:44,-60.0,1
2021-03-11 09:02:44,-60.0,1
2021-03-11 09:02:45,-60.0,1
2021-03-11 09:02:45,-60.0,1
2021-03-11 09:02:45,-60.0,1
2021-03-11 09:02:53,-60.0,1
2021-03-11 09:02:53,-60.0,1
2021-03-11 09:02:53,-60.0,1
2021-03-11 09:02:54,-60.0,1
2021-03-11 09:02:54,-60.0,1
2021-03-11 09:02:54,-60.0,1
2021-03-11 09:02:54,-60.0,1
2021-03-11 09:02:55,-60.0,1
2021-03-11 09:02:55,-60.0,1
2021-03-11 09:02:55,-60.0,1
2021-03-11 09:02:56,-60.0,1
2021-03-11 09:02:56,-60.0,1
2021-03-11 09:02:56,-60.0,1
2021-03-11 09:03:00,-60.0,1
2021-03-11 09:03:00,-60.0,1
2021-03-11 09:03:00,-60.0,1
2021-03-11 09:03:00,-60.0,1
2021-03-11 09:03:01,-60.0,1
2021-03-11 09:03:01,-60.0,1
2021-03-11 09:03:01,-60.0,1
2021-03-11 09:03:02,-60.0,1
2021-03-11 09:03:02,-60.0,1
2021-03-11 09:03:02,-60.0,1
2021-03-11 09:03:02,-60.0,1
2021-03-11 09:03:03,-60.0,1
2021-03-11 09:03:03,-60.0,1
2021-03-11 09:03:03,-60.0,1
2021-03-11 09:03:07,-60.0,1
2021-03-11 09:03:07,-60.0,1
2021-03-11 09:03:08,-60.0,1
2021-03-11 09:03:08,-60.0,1
2021-03-11 09:03:08,-60.0,1
2021-03-11 09:03:09,-60.0,1
2021-03-11 09:03:09,-60.0,1
2021-03-11 09:03:09,-60.0,1
2021-03-11 09:03:09,-60.0,1
2021-03-11 09:03:10,-60.0,1
2021-03-11 09:03:10,-60.0,1
2021-03-11 09:03:10,-60.0,1
2021-03-11 09:03:14,-60.0,1
2021-03-11 09:03:14,-60.0,1
2021-03-11 09:03:15,-60.0,1
2021-03-11 09:03:15,-60.0,1
2021-03-11 09:03:15,-60.0,1
2021-03-11 09:03:15,-60.0,1
2021-03-11 09:03:16,-60.0,1
2021-03-11 09:03:16,-60.0,1
2021-03-11 09:03:17,-60.0,1
2021-03-11 09:03:17,-60.0,1
