time,rssi,distance
2021-01-13 20:34:09,-45.0,10
2021-01-13 20:34:11,-55.0,10
2021-01-13 20:34:13,-49.0,10
2021-01-13 20:34:17,-53.0,10
2021-01-13 20:34:22,-45.0,10
2021-01-13 20:34:26,-50.0,10
2021-01-13 20:34:28,-52.0,10
2021-01-13 20:34:30,-53.0,10
2021-01-13 20:34:32,-56.0,10
2021-01-13 20:34:34,-53.0,10
2021-01-13 20:34:36,-50.0,10
2021-01-13 20:34:39,-49.0,10
2021-01-13 20:34:41,-49.0,10
2021-01-13 20:34:45,-44.0,10
2021-01-13 20:34:49,-47.0,10
2021-01-13 20:34:51,-52.0,10
2021-01-13 20:34:53,-48.0,10
2021-01-13 20:34:56,-59.0,10
2021-01-13 20:34:58,-44.0,10
2021-01-13 20:35:00,-54.0,10
2021-01-13 20:35:04,-52.0,10
2021-01-13 20:35:06,-51.0,10
2021-01-13 20:35:08,-48.0,10
2021-01-13 20:35:10,-56.0,10
2021-01-13 20:35:13,-48.0,10
2021-01-13 20:35:15,-47.0,10
2021-01-13 20:35:19,-52.0,10
2021-01-13 20:35:23,-53.0,10
2021-01-13 20:35:25,-55.0,10
2021-01-13 20:35:27,-55.0,10
2021-01-13 20:35:29,-58.0,10
2021-01-13 20:35:32,-58.0,10
2021-01-13 20:35:34,-52.0,10
2021-01-13 20:35:38,-47.0,10
2021-01-13 20:35:40,-57.0,10
2021-01-13 20:35:44,-63.0,10
2021-01-13 20:35:47,-51.0,10
2021-01-13 20:35:49,-51.0,10
2021-01-13 20:35:51,-57.0,10
2021-01-13 20:35:53,-53.0,10
2021-01-13 20:35:55,-53.0,10
2021-01-13 20:35:57,-50.0,10
2021-01-13 20:35:59,-47.0,10
2021-01-13 20:36:04,-58.0,10
2021-01-13 20:36:06,-52.0,10
2021-01-13 20:36:08,-49.0,10
2021-01-13 20:36:10,-55.0,10
2021-01-13 20:36:12,-61.0,10
2021-01-13 20:36:14,-49.0,10
2021-01-13 20:36:16,-56.0,10
2021-01-13 20:36:19,-42.0,10
2021-01-13 20:36:21,-54.0,10
2021-01-13 20:36:23,-43.0,10
2021-01-13 20:36:25,-58.0,10
2021-01-13 20:36:27,-50.0,10
2021-01-13 20:36:29,-50.0,10
2021-01-13 20:36:31,-47.0,10
2021-01-13 20:36:34,-55.0,10
2021-01-13 20:36:36,-55.0,10
2021-01-13 20:36:38,-58.0,10
2021-01-13 20:36:40,-46.0,10
2021-01-13 20:36:42,-51.0,10
2021-01-13 20:36:44,-59.0,10
2021-01-13 20:36:46,-56.0,10
2021-01-13 20:36:49,-50.0,10
2021-01-13 20:36:51,-47.0,10
2021-01-13 20:36:53,-54.0,10
2021-01-13 20:36:55,-47.0,10
2021-01-13 20:36:57,-47.0,10
2021-01-13 20:36:59,-59.0,10
2021-01-13 20:37:01,-47.0,10
2021-01-13 20:37:06,-47.0,10
2021-01-13 20:37:08,-55.0,10
2021-01-13 20:37:10,-59.0,10
2021-01-13 20:37:14,-50.0,10
2021-01-13 20:37:16,-54.0,10
2021-01-13 20:37:20,-50.0,10
2021-01-13 20:37:23,-45.0,10
2021-01-13 20:37:25,-58.0,10
2021-01-13 20:37:27,-55.0,10
2021-01-13 20:37:29,-55.0,10
2021-01-13 20:37:31,-57.0,10
2021-01-13 20:37:33,-51.0,10
2021-01-13 20:37:35,-51.0,10
2021-01-13 20:37:38,-45.0,10
2021-01-13 20:37:42,-51.0,10
2021-01-13 20:37:46,-46.0,10
2021-01-13 20:37:48,-50.0,10
2021-01-13 20:37:50,-43.0,10
2021-01-13 20:37:54,-57.0,10
2021-01-13 20:37:57,-47.0,10
2021-01-13 20:38:01,-44.0,10
2021-01-13 20:38:03,-51.0,10
2021-01-13 20:38:05,-55.0,10
2021-01-13 20:38:07,-54.0,10
2021-01-13 20:38:09,-51.0,10
2021-01-13 20:38:14,-48.0,10
2021-01-13 20:38:16,-42.0,10
2021-01-13 20:38:18,-47.0,10
2021-01-13 20:38:20,-51.0,10
2021-01-13 20:38:26,-55.0,10
2021-01-13 20:38:28,-59.0,10
2021-01-13 20:38:32,-44.0,10
2021-01-13 20:38:35,-55.0,10
2021-01-13 20:38:37,-55.0,10
2021-01-13 20:38:39,-53.0,10
2021-01-13 20:38:41,-57.0,10
2021-01-13 20:38:43,-59.0,10
2021-01-13 20:38:49,-45.0,10
2021-01-13 20:38:54,-52.0,10
2021-01-13 20:38:56,-50.0,10
2021-01-13 20:38:58,-48.0,10
2021-01-13 20:39:00,-47.0,10
2021-01-13 20:39:04,-49.0,10
2021-01-13 20:39:06,-55.0,10
2021-01-13 20:39:08,-56.0,10
2021-01-13 20:39:10,-61.0,10
2021-01-13 20:39:13,-52.0,10
2021-01-13 20:39:15,-42.0,10
2021-01-13 20:39:17,-45.0,10
2021-01-13 20:39:19,-50.0,10
2021-01-13 20:39:21,-48.0,10
2021-01-13 20:39:25,-57.0,10
2021-01-13 20:39:27,-59.0,10
2021-01-13 20:39:32,-51.0,10
2021-01-13 20:39:34,-55.0,10
2021-01-13 20:39:38,-45.0,10
2021-01-13 20:39:40,-43.0,10
2021-01-13 20:39:44,-50.0,10
2021-01-13 20:39:46,-53.0,10
2021-01-13 20:39:49,-52.0,10
2021-01-13 20:39:51,-46.0,10
2021-01-13 20:39:53,-51.0,10
2021-01-13 20:39:55,-51.0,10
2021-01-13 20:39:57,-52.0,10
2021-01-13 20:39:59,-49.0,10
2021-01-13 20:40:02,-57.0,10
2021-01-13 20:40:06,-51.0,10
2021-01-13 20:40:08,-48.0,10
2021-01-13 20:40:10,-49.0,10
2021-01-13 20:40:12,-53.0,10
2021-01-13 20:40:14,-57.0,10
2021-01-13 20:40:17,-48.0,10
2021-01-13 20:40:21,-53.0,10
2021-01-13 20:40:23,-52.0,10
2021-01-13 20:40:25,-52.0,10
2021-01-13 20:40:27,-56.0,10
2021-01-13 20:40:29,-54.0,10
2021-01-13 20:40:33,-45.0,10
2021-01-13 20:40:36,-50.0,10
2021-01-13 20:40:38,-48.0,10
2021-01-13 20:40:40,-48.0,10
2021-01-13 20:40:42,-47.0,10
2021-01-13 20:40:44,-58.0,10
2021-01-13 20:40:48,-51.0,10
2021-01-13 20:40:50,-47.0,10
2021-01-13 20:40:55,-50.0,10
