time,rssi,distance
2021-03-05 09:58:20,-35.0,1
2021-03-05 09:58:24,-32.0,1
2021-03-05 09:58:26,-35.0,1
2021-03-05 09:58:29,-34.0,1
2021-03-05 09:58:31,-34.0,1
2021-03-05 09:58:33,-33.0,1
2021-03-05 09:58:37,-32.0,1
2021-03-05 09:58:41,-34.0,1
2021-03-05 09:58:45,-32.0,1
2021-03-05 09:58:47,-36.0,1
2021-03-05 09:58:52,-35.0,1
2021-03-05 09:58:54,-33.0,1
2021-03-05 09:58:56,-34.0,1
2021-03-05 09:59:00,-34.0,1
2021-03-05 09:59:02,-35.0,1
2021-03-05 09:59:04,-36.0,1
2021-03-05 09:59:06,-33.0,1
2021-03-05 09:59:10,-35.0,1
2021-03-05 09:59:12,-34.0,1
2021-03-05 09:59:14,-35.0,1
2021-03-05 09:59:17,-33.0,1
2021-03-05 09:59:19,-34.0,1
2021-03-05 09:59:21,-31.0,1
2021-03-05 09:59:23,-31.0,1
2021-03-05 09:59:27,-33.0,1
2021-03-05 09:59:31,-34.0,1
2021-03-05 09:59:35,-34.0,1
2021-03-05 09:59:39,-31.0,1
2021-03-05 09:59:44,-32.0,1
2021-03-05 09:59:46,-35.0,1
2021-03-05 09:59:50,-35.0,1
2021-03-05 09:59:56,-33.0,1
2021-03-05 10:00:00,-35.0,1
2021-03-05 10:00:02,-36.0,1
2021-03-05 10:00:06,-35.0,1
2021-03-05 10:00:11,-35.0,1
2021-03-05 10:00:13,-34.0,1
2021-03-05 10:00:17,-33.0,1
2021-03-05 10:00:21,-34.0,1
2021-03-05 10:00:25,-34.0,1
2021-03-05 10:00:27,-32.0,1
2021-03-05 10:00:29,-31.0,1
2021-03-05 10:00:33,-33.0,1
2021-03-05 10:00:38,-34.0,1
2021-03-05 10:00:42,-32.0,1
2021-03-05 10:00:46,-32.0,1
2021-03-05 10:00:50,-34.0,1
2021-03-05 10:00:52,-35.0,1
2021-03-05 10:00:56,-35.0,1
2021-03-05 10:01:01,-36.0,1
2021-03-05 10:01:03,-32.0,1
2021-03-05 10:01:07,-35.0,1
2021-03-05 10:01:11,-35.0,1
2021-03-05 10:01:13,-36.0,1
2021-03-05 10:01:17,-34.0,1
2021-03-05 10:01:19,-31.0,1
2021-03-05 10:01:22,-32.0,1
2021-03-05 10:01:24,-33.0,1
2021-03-05 10:01:28,-33.0,1
2021-03-05 10:01:32,-33.0,1
2021-03-05 10:01:34,-32.0,1
2021-03-05 10:01:38,-31.0,1
2021-03-05 10:01:42,-31.0,1
2021-03-05 10:01:47,-34.0,1
2021-03-05 10:01:51,-35.0,1
2021-03-05 10:01:53,-35.0,1
2021-03-05 10:01:57,-36.0,1
2021-03-05 10:01:59,-33.0,1
2021-03-05 10:02:01,-32.0,1
2021-03-05 10:02:03,-32.0,1
2021-03-05 10:02:08,-34.0,1
2021-03-05 10:02:12,-34.0,1
2021-03-05 10:02:16,-32.0,1
2021-03-05 10:02:18,-31.0,1
2021-03-05 10:02:22,-33.0,1
2021-03-05 10:02:26,-34.0,1
2021-03-05 10:02:31,-32.0,1
2021-03-05 10:02:33,-32.0,1
2021-03-05 10:02:37,-31.0,1
2021-03-05 10:02:39,-31.0,1
2021-03-05 10:02:41,-33.0,1
2021-03-05 10:02:43,-34.0,1
2021-03-05 10:02:45,-35.0,1
2021-03-05 10:02:47,-35.0,1
2021-03-05 10:02:52,-32.0,1
2021-03-05 10:02:54,-35.0,1
2021-03-05 10:02:56,-38.0,1
2021-03-05 10:03:00,-34.0,1
2021-03-05 10:03:04,-34.0,1
2021-03-05 10:03:06,-35.0,1
2021-03-05 10:03:10,-35.0,1
2021-03-05 10:03:14,-33.0,1
2021-03-05 10:03:19,-33.0,1
2021-03-05 10:03:21,-33.0,1
2021-03-05 10:03:25,-31.0,1
2021-03-05 10:03:27,-31.0,1
2021-03-05 10:03:31,-31.0,1
2021-03-05 10:03:35,-32.0,1
2021-03-05 10:03:40,-34.0,1
2021-03-05 10:03:42,-32.0,1
2021-03-05 10:03:44,-32.0,1
2021-03-05 10:03:48,-32.0,1
2021-03-05 10:03:50,-33.0,1
2021-03-05 10:03:54,-35.0,1
2021-03-05 10:03:58,-36.0,1
2021-03-05 10:04:03,-32.0,1
2021-03-05 10:04:07,-34.0,1
2021-03-05 10:04:11,-35.0,1
2021-03-05 10:04:15,-34.0,1
2021-03-05 10:04:17,-31.0,1
2021-03-05 10:04:21,-31.0,1
2021-03-05 10:04:25,-33.0,1
2021-03-05 10:04:30,-32.0,1
2021-03-05 10:04:32,-33.0,1
2021-03-05 10:04:36,-32.0,1
2021-03-05 10:04:40,-32.0,1
2021-03-05 10:04:42,-32.0,1
2021-03-05 10:04:46,-35.0,1
2021-03-05 10:04:50,-33.0,1
2021-03-05 10:04:54,-33.0,1
2021-03-05 10:04:59,-35.0,1
2021-03-05 10:05:03,-35.0,1
2021-03-05 10:05:05,-33.0,1
2021-03-05 10:05:09,-32.0,1
2021-03-05 10:05:11,-33.0,1
2021-03-05 10:05:15,-32.0,1
2021-03-05 10:05:20,-33.0,1
2021-03-05 10:05:22,-34.0,1
2021-03-05 10:05:26,-31.0,1
2021-03-05 10:05:28,-31.0,1
2021-03-05 10:05:32,-32.0,1
2021-03-05 10:05:36,-33.0,1
2021-03-05 10:05:40,-31.0,1
2021-03-05 10:05:42,-34.0,1
2021-03-05 10:05:46,-33.0,1
2021-03-05 10:05:51,-35.0,1
2021-03-05 10:05:53,-35.0,1
2021-03-05 10:05:55,-36.0,1
2021-03-05 10:05:57,-33.0,1
2021-03-05 10:06:01,-35.0,1
2021-03-05 10:06:05,-34.0,1
2021-03-05 10:06:07,-34.0,1
2021-03-05 10:06:10,-35.0,1
2021-03-05 10:06:12,-32.0,1
2021-03-05 10:06:16,-35.0,1
2021-03-05 10:06:20,-32.0,1
2021-03-05 10:06:24,-34.0,1
2021-03-05 10:06:28,-35.0,1
2021-03-05 10:06:33,-32.0,1
2021-03-05 10:06:39,-32.0,1
2021-03-05 10:06:41,-33.0,1
2021-03-05 10:06:43,-34.0,1
2021-03-05 10:06:45,-33.0,1
2021-03-05 10:06:47,-35.0,1
