time,rssi,distance
2021-01-08 14:23:51,-38.0,10
2021-01-08 14:23:53,-40.0,10
2021-01-08 14:23:57,-38.0,10
2021-01-08 14:23:59,-40.0,10
2021-01-08 14:24:03,-38.0,10
2021-01-08 14:24:06,-37.0,10
2021-01-08 14:24:08,-38.0,10
2021-01-08 14:24:10,-38.0,10
2021-01-08 14:24:14,-40.0,10
2021-01-08 14:24:16,-41.0,10
2021-01-08 14:24:19,-41.0,10
2021-01-08 14:24:21,-39.0,10
2021-01-08 14:24:23,-39.0,10
2021-01-08 14:24:25,-40.0,10
2021-01-08 14:24:29,-39.0,10
2021-01-08 14:24:31,-38.0,10
2021-01-08 14:24:33,-39.0,10
2021-01-08 14:24:36,-38.0,10
2021-01-08 14:24:38,-39.0,10
2021-01-08 14:24:40,-39.0,10
2021-01-08 14:24:42,-40.0,10
2021-01-08 14:24:44,-39.0,10
2021-01-08 14:24:46,-38.0,10
2021-01-08 14:24:49,-39.0,10
2021-01-08 14:24:51,-39.0,10
2021-01-08 14:24:53,-40.0,10
2021-01-08 14:24:55,-39.0,10
2021-01-08 14:24:57,-40.0,10
2021-01-08 14:24:59,-40.0,10
2021-01-08 14:25:04,-38.0,10
2021-01-08 14:25:06,-39.0,10
2021-01-08 14:25:08,-40.0,10
2021-01-08 14:25:10,-38.0,10
2021-01-08 14:25:12,-40.0,10
2021-01-08 14:25:14,-40.0,10
2021-01-08 14:25:16,-40.0,10
2021-01-08 14:25:19,-40.0,10
2021-01-08 14:25:21,-38.0,10
2021-01-08 14:25:23,-39.0,10
2021-01-08 14:25:25,-41.0,10
2021-01-08 14:25:27,-38.0,10
2021-01-08 14:25:31,-40.0,10
2021-01-08 14:25:33,-39.0,10
2021-01-08 14:25:36,-40.0,10
2021-01-08 14:25:38,-38.0,10
2021-01-08 14:25:42,-40.0,10
2021-01-08 14:25:44,-38.0,10
2021-01-08 14:25:48,-39.0,10
2021-01-08 14:25:51,-38.0,10
2021-01-08 14:25:53,-39.0,10
2021-01-08 14:25:55,-39.0,10
2021-01-08 14:25:57,-39.0,10
2021-01-08 14:25:59,-39.0,10
2021-01-08 14:26:04,-40.0,10
2021-01-08 14:26:06,-39.0,10
2021-01-08 14:26:08,-39.0,10
2021-01-08 14:26:10,-39.0,10
2021-01-08 14:26:12,-39.0,10
2021-01-08 14:26:17,-40.0,10
2021-01-08 14:26:19,-39.0,10
2021-01-08 14:26:21,-40.0,10
2021-01-08 14:26:23,-40.0,10
2021-01-08 14:26:27,-42.0,10
2021-01-08 14:26:31,-39.0,10
2021-01-08 14:26:33,-39.0,10
2021-01-08 14:26:36,-38.0,10
2021-01-08 14:26:38,-37.0,10
2021-01-08 14:26:40,-38.0,10
2021-01-08 14:26:42,-40.0,10
2021-01-08 14:26:44,-38.0,10
2021-01-08 14:26:46,-39.0,10
2021-01-08 14:26:48,-39.0,10
2021-01-08 14:26:51,-40.0,10
2021-01-08 14:26:53,-41.0,10
2021-01-08 14:26:55,-39.0,10
2021-01-08 14:26:57,-42.0,10
2021-01-08 14:26:59,-40.0,10
2021-01-08 14:27:04,-39.0,10
2021-01-08 14:27:06,-40.0,10
2021-01-08 14:27:08,-39.0,10
2021-01-08 14:27:10,-40.0,10
2021-01-08 14:27:12,-38.0,10
2021-01-08 14:27:16,-39.0,10
2021-01-08 14:27:19,-39.0,10
2021-01-08 14:27:21,-38.0,10
2021-01-08 14:27:23,-39.0,10
2021-01-08 14:27:25,-41.0,10
2021-01-08 14:27:27,-39.0,10
2021-01-08 14:27:31,-40.0,10
2021-01-08 14:27:33,-40.0,10
2021-01-08 14:27:36,-40.0,10
2021-01-08 14:27:38,-38.0,10
2021-01-08 14:27:40,-37.0,10
2021-01-08 14:27:44,-39.0,10
2021-01-08 14:27:46,-37.0,10
2021-01-08 14:27:48,-40.0,10
2021-01-08 14:27:51,-38.0,10
2021-01-08 14:27:53,-40.0,10
2021-01-08 14:27:55,-40.0,10
2021-01-08 14:27:57,-39.0,10
2021-01-08 14:28:01,-40.0,10
2021-01-08 14:28:03,-40.0,10
2021-01-08 14:28:06,-39.0,10
2021-01-08 14:28:08,-37.0,10
2021-01-08 14:28:12,-40.0,10
2021-01-08 14:28:14,-40.0,10
2021-01-08 14:28:18,-39.0,10
2021-01-08 14:28:20,-40.0,10
2021-01-08 14:28:23,-42.0,10
2021-01-08 14:28:27,-41.0,10
2021-01-08 14:28:29,-38.0,10
2021-01-08 14:28:33,-40.0,10
2021-01-08 14:28:35,-40.0,10
2021-01-08 14:28:37,-41.0,10
2021-01-08 14:28:40,-39.0,10
2021-01-08 14:28:42,-40.0,10
2021-01-08 14:28:44,-40.0,10
2021-01-08 14:28:48,-42.0,10
2021-01-08 14:28:50,-39.0,10
2021-01-08 14:28:52,-38.0,10
2021-01-08 14:28:55,-38.0,10
2021-01-08 14:28:57,-38.0,10
2021-01-08 14:28:59,-38.0,10
2021-01-08 14:29:01,-40.0,10
2021-01-08 14:29:05,-39.0,10
2021-01-08 14:29:07,-37.0,10
2021-01-08 14:29:11,-39.0,10
2021-01-08 14:29:14,-38.0,10
2021-01-08 14:29:16,-42.0,10
2021-01-08 14:29:18,-40.0,10
2021-01-08 14:29:20,-39.0,10
2021-01-08 14:29:22,-38.0,10
2021-01-08 14:29:24,-41.0,10
2021-01-08 14:29:28,-38.0,10
2021-01-08 14:29:31,-40.0,10
2021-01-08 14:29:33,-40.0,10
2021-01-08 14:29:35,-40.0,10
2021-01-08 14:29:39,-42.0,10
2021-01-08 14:29:41,-40.0,10
2021-01-08 14:29:43,-41.0,10
2021-01-08 14:29:45,-38.0,10
2021-01-08 14:29:48,-38.0,10
2021-01-08 14:29:50,-42.0,10
